cate,num,num_sec,protect_unit,province,rx_time,title,type
新增项目,Ⅱ-20,20,海东市乐都区文化馆,青海省乐都县,2006</br>(第一批),花儿（瞿昙寺花儿会）,传统音乐
新增项目,Ⅱ-20,20,民和回族土族自治县文化馆,青海省民和回族土族自治县,2006</br>(第一批),花儿（七里寺花儿会）,传统音乐
新增项目,Ⅱ-20,20,宁夏回族自治区文化馆（宁夏回族自治区非物质文化遗产保护中心、宁夏回族自治区展览馆）,宁夏回族自治区,2006</br>(第一批),花儿（宁夏回族山花儿）,传统音乐
扩展项目,Ⅱ-20,20,乌鲁木齐市米东区文化馆,新疆维吾尔自治区昌吉回族自治州,2008</br>(第二批),花儿（新疆花儿）,传统音乐
扩展项目,Ⅱ-20,20,焉耆回族自治县文化馆,新疆维吾尔自治区巴音郭楞蒙古自治州,2008</br>(第二批),花儿（新疆花儿）,传统音乐
扩展项目,Ⅱ-20,20,张家川回族自治县文化馆,甘肃省张家川回族自治县,2014</br>(第四批),花儿（张家川花儿）,传统音乐
新增项目,Ⅱ-21,21,海南州文化馆,青海省海南藏族自治州,2006</br>(第一批),藏族拉伊,传统音乐
扩展项目,Ⅱ-21,21,西藏那曲市群众艺术馆,西藏自治区那曲地区,2014</br>(第四批),藏族拉伊（那曲拉伊）,传统音乐
新增项目,Ⅱ-22,22,淄川区聊斋俚曲艺术团,山东省淄博市,2006</br>(第一批),聊斋俚曲,传统音乐
新增项目,Ⅱ-23,23,靖州苗族侗族自治县非物质文化遗产保护中心,湖南省靖州苗族侗族自治县,2006</br>(第一批),靖州苗族歌鼟,传统音乐
新增项目,Ⅱ-24,24,重庆市文化研究院（重庆市非物质文化遗产保护中心、重庆市文化行业特有工种职业技能鉴定站）,重庆市,2006</br>(第一批),川江号子,传统音乐
新增项目,Ⅱ-24,24,四川省艺术研究院,四川省,2006</br>(第一批),川江号子,传统音乐
新增项目,Ⅱ-25,25,重庆市黔江区民族文化艺术馆,重庆市黔江区,2006</br>(第一批),南溪号子,传统音乐
新增项目,Ⅱ-26,26,重庆市巴南区木洞镇文化服务中心,重庆市巴南区,2006</br>(第一批),木洞山歌,传统音乐
新增项目,Ⅱ-27,27,青川县文化馆,四川省青川县,2006</br>(第一批),川北薅草锣鼓,传统音乐
扩展项目,Ⅱ-27,27,武宁县非物质文化遗产保护中心,江西省武宁县,2008</br>(第二批),薅草锣鼓（武宁打鼓歌）,传统音乐
扩展项目,Ⅱ-27,27,宜昌市夷陵区文化馆,湖北省宜昌市,2008</br>(第二批),薅草锣鼓（宜昌薅草锣鼓）,传统音乐
扩展项目,Ⅱ-27,27,五峰土家族自治县文化馆,湖北省五峰土家族自治县,2008</br>(第二批),薅草锣鼓（五峰土家族薅草锣鼓）,传统音乐
扩展项目,Ⅱ-27,27,兴山县文化馆,湖北省兴山县,2008</br>(第二批),薅草锣鼓（兴山薅草锣鼓）,传统音乐
扩展项目,Ⅱ-27,27,宣恩县群众文化馆,湖北省宣恩县,2008</br>(第二批),薅草锣鼓（宣恩薅草锣鼓）,传统音乐
扩展项目,Ⅱ-27,27,长阳土家族自治县民族民间传统文化保护中心,湖北省长阳土家族自治县,2008</br>(第二批),薅草锣鼓（长阳山歌）,传统音乐
扩展项目,Ⅱ-27,27,宣汉县文化馆,四川省宣汉县,2008</br>(第二批),薅草锣鼓（川东土家族薅草锣鼓）,传统音乐
扩展项目,Ⅱ-27,27,金湖县文化馆,江苏省金湖县,2014</br>(第四批),薅草锣鼓（金湖秧歌）,传统音乐
新增项目,Ⅱ-28,28,黎平县文化馆,贵州省黎平县,2006</br>(第一批),侗族大歌,传统音乐
新增项目,Ⅱ-28,28,柳州市群众艺术馆,广西壮族自治区柳州市,2006</br>(第一批),侗族大歌,传统音乐
新增项目,Ⅱ-28,28,三江侗族自治县非物质文化遗产保护与发展中心,广西壮族自治区三江侗族自治县,2006</br>(第一批),侗族大歌,传统音乐
扩展项目,Ⅱ-28,28,从江县非物质文化遗产保护中心,贵州省从江县,2008</br>(第二批),侗族大歌,传统音乐
扩展项目,Ⅱ-28,28,榕江县非物质文化遗产保护中心,贵州省榕江县,2008</br>(第二批),侗族大歌,传统音乐
新增项目,Ⅱ-29,29,榕江县非物质文化遗产保护中心,贵州省榕江县,2006</br>(第一批),侗族琵琶歌,传统音乐
新增项目,Ⅱ-29,29,黎平县文化馆,贵州省黎平县,2006</br>(第一批),侗族琵琶歌,传统音乐
扩展项目,Ⅱ-29,29,从江县非物质文化遗产保护中心,贵州省从江县,2011</br>(第三批),侗族琵琶歌,传统音乐
新增项目,Ⅱ-30,30,红河哈尼族彝族自治州非物质文化遗产保护中心,云南省红河哈尼族彝族自治州,2006</br>(第一批),哈尼族多声部民歌,传统音乐
扩展项目,Ⅱ-30,30,锡林浩特市文化馆,内蒙古自治区锡林浩特市,2008</br>(第二批),多声部民歌（潮尔道-蒙古族合声演唱）,传统音乐
扩展项目,Ⅱ-30,30,富川瑶族自治县文化馆,广西壮族自治区富川瑶族自治县,2008</br>(第二批),多声部民歌（瑶族蝴蝶歌）,传统音乐
扩展项目,Ⅱ-30,30,马山县文化馆,广西壮族自治区马山县,2008</br>(第二批),多声部民歌（壮族三声部民歌）,传统音乐
扩展项目,Ⅱ-30,30,松潘县文化馆,四川省松潘县,2008</br>(第二批),多声部民歌（羌族多声部民歌）,传统音乐
扩展项目,Ⅱ-30,30,宝兴县文化馆,四川省雅安市,2008</br>(第二批),多声部民歌（硗碛多声部民歌）,传统音乐
扩展项目,Ⅱ-30,30,台江县非物质文化遗产保护中心,贵州省台江县,2008</br>(第二批),多声部民歌（苗族多声部民歌）,传统音乐
扩展项目,Ⅱ-30,30,剑河县文化馆,贵州省剑河县,2008</br>(第二批),多声部民歌（苗族多声部民歌）,传统音乐
扩展项目,Ⅱ-30,30,阿巴嘎旗文化馆,内蒙古自治区阿巴嘎旗,2011</br>(第三批),多声部民歌（潮尔道-阿巴嘎潮尔）,传统音乐
扩展项目,Ⅱ-30,30,黑水县文化馆,四川省黑水县,2014</br>(第四批),多声部民歌（阿尔麦多声部民歌）,传统音乐
新增项目,Ⅱ-31,31,石屏县文化馆,云南省红河哈尼族彝族自治州,2006</br>(第一批),彝族海菜腔,传统音乐
新增项目,Ⅱ-32,32,那坡县文化馆,广西壮族自治区那坡县,2006</br>(第一批),那坡壮族民歌,传统音乐
新增项目,Ⅱ-33,33,澧县文化馆,湖南省澧县,2006</br>(第一批),澧水船工号子,传统音乐
新增项目,Ⅱ-34,34,中国艺术研究院,中国艺术研究院,2006</br>(第一批),古琴艺术,传统音乐
扩展项目,Ⅱ-34,34,常熟市虞山琴派艺术工作室,江苏省常熟市,2008</br>(第二批),古琴艺术（虞山琴派）,传统音乐
扩展项目,Ⅱ-34,34,扬州市文化馆,江苏省扬州市,2008</br>(第二批),古琴艺术（广陵琴派）,传统音乐
扩展项目,Ⅱ-34,34,南京市秦淮区文化馆,江苏省南京市,2008</br>(第二批),古琴艺术（金陵琴派）,传统音乐
扩展项目,Ⅱ-34,34,南通市非物质文化遗产研究会,江苏省南通市,2008</br>(第二批),古琴艺术（梅庵琴派）,传统音乐
扩展项目,Ⅱ-34,34,镇江梦溪琴社,江苏省镇江市,2008</br>(第二批),古琴艺术（梅庵琴派）,传统音乐
扩展项目,Ⅱ-34,34,杭州市非物质文化遗产保护中心,浙江省杭州市,2008</br>(第二批),古琴艺术（浙派）,传统音乐
扩展项目,Ⅱ-34,34,诸城市文化馆,山东省诸城市,2008</br>(第二批),古琴艺术（诸城派）,传统音乐
扩展项目,Ⅱ-34,34,广州市海珠区文化馆（广州市海珠区非物质文化遗产保护中心）,广东省广州市,2008</br>(第二批),古琴艺术（岭南派）,传统音乐
扩展项目,Ⅱ-34,34,北京钧天坊古琴文化艺术传播有限公司,北京市大兴区,2014</br>(第四批),古琴艺术,传统音乐
扩展项目,Ⅱ-34,34,蔡昌寿及蔡昌寿斲琴学会,香港特别行政区,2014</br>(第四批),古琴艺术,传统音乐
扩展项目,Ⅱ-34,34,陕西省艺术研究院,陕西省,2021</br>(第五批),古琴艺术,传统音乐
新增项目,Ⅱ-35,35,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）,内蒙古自治区,2006</br>(第一批),蒙古族马头琴音乐,传统音乐
扩展项目,Ⅱ-35,35,前郭尔罗斯蒙古族自治县民族歌舞传习中心（马头琴乐团）,吉林省前郭尔罗斯蒙古族自治县,2008</br>(第二批),蒙古族马头琴音乐,传统音乐
扩展项目,Ⅱ-35,35,阜新蒙古族自治县文化体育旅游服务中心,辽宁省阜新市,2021</br>(第五批),蒙古族马头琴音乐（蒙古勒津马头琴音乐）,传统音乐
新增项目,Ⅱ-36,36,通辽市民族歌舞团,内蒙古自治区通辽市,2006</br>(第一批),蒙古族四胡音乐,传统音乐
扩展项目,Ⅱ-36,36,前郭尔罗斯蒙古族自治县草原文化馆,吉林省前郭尔罗斯蒙古族自治县,2008</br>(第二批),蒙古族四胡音乐,传统音乐
扩展项目,Ⅱ-36,36,杜尔伯特蒙古族自治县博物馆,黑龙江省杜尔伯特蒙古族自治县,2008</br>(第二批),蒙古族四胡音乐,传统音乐
扩展项目,Ⅱ-36,36,科尔沁右翼中旗文化馆,内蒙古自治区科尔沁右翼中旗,2014</br>(第四批),蒙古族四胡音乐,传统音乐
新增项目,Ⅱ-37,37,沁阳市文化馆（沁阳市非物质文化遗产保中心）,河南省沁阳市,2006</br>(第一批),唢呐艺术,传统音乐
新增项目,Ⅱ-37,37,庆阳市西峰区文化馆,甘肃省庆阳市,2006</br>(第一批),唢呐艺术,传统音乐
扩展项目,Ⅱ-37,37,唐山市曹妃甸区文化馆,河北省曹妃甸区,2008</br>(第二批),唢呐艺术（唐山花吹）,传统音乐
扩展项目,Ⅱ-37,37,丰宁满族自治县非物质文化遗产保护中心,河北省丰宁满族自治县,2008</br>(第二批),唢呐艺术（丰宁满族吵子会）,传统音乐
扩展项目,Ⅱ-37,37,阳高县文化馆,山西省阳高县,2008</br>(第二批),唢呐艺术（晋北鼓吹）,传统音乐
扩展项目,Ⅱ-37,37,长子县文化馆,山西省长子县,2008</br>(第二批),唢呐艺术（上党八音会）,传统音乐
扩展项目,Ⅱ-37,37,壶关县牛府鼓乐班社,山西省壶关县,2008</br>(第二批),唢呐艺术（上党乐户班社）,传统音乐
扩展项目,Ⅱ-37,37,忻州市忻府区文化馆,山西省忻州市,2008</br>(第二批),唢呐艺术（晋北鼓吹）,传统音乐
扩展项目,Ⅱ-37,37,丹东市非物质文化遗产保护研究中心,辽宁省丹东市,2008</br>(第二批),唢呐艺术（丹东鼓乐）,传统音乐
扩展项目,Ⅱ-37,37,肇州县非物质文化遗产保护中心,黑龙江省肇州县,2008</br>(第二批),唢呐艺术（杨小班鼓吹乐棚）,传统音乐
扩展项目,Ⅱ-37,37,于都县文化馆,江西省于都县,2008</br>(第二批),唢呐艺术（于都唢呐公婆吹）,传统音乐
扩展项目,Ⅱ-37,37,万载县文化馆,江西省万载县,2008</br>(第二批),唢呐艺术（万载得胜鼓）,传统音乐
扩展项目,Ⅱ-37,37,邹城市文化馆,山东省邹城市,2008</br>(第二批),唢呐艺术（邹城平派鼓吹乐）,传统音乐
扩展项目,Ⅱ-37,37,保康县文化馆,湖北省保康县,2008</br>(第二批),唢呐艺术（沮水呜音）,传统音乐
扩展项目,Ⅱ-37,37,南漳县文化馆,湖北省南漳县,2008</br>(第二批),唢呐艺术（呜音喇叭）,传统音乐
扩展项目,Ⅱ-37,37,远安县文化馆,湖北省远安县,2008</br>(第二批),唢呐艺术（远安呜音）,传统音乐
扩展项目,Ⅱ-37,37,湘潭县文化馆,湖南省湘潭县,2008</br>(第二批),唢呐艺术（青山唢呐）,传统音乐
扩展项目,Ⅱ-37,37,重庆市綦江区文化馆,重庆市綦江区,2008</br>(第二批),唢呐艺术（永城吹打）,传统音乐
扩展项目,Ⅱ-37,37,绥德县文化馆,陕西省绥德县,2008</br>(第二批),唢呐艺术（绥米唢呐）,传统音乐
扩展项目,Ⅱ-37,37,米脂县文化馆,陕西省米脂县,2008</br>(第二批),唢呐艺术（绥米唢呐）,传统音乐
扩展项目,Ⅱ-37,37,徐州文化馆,江苏省徐州市,2011</br>(第三批),唢呐艺术（徐州鼓吹乐）,传统音乐
扩展项目,Ⅱ-37,37,砀山县文化馆,安徽省宿州市,2011</br>(第三批),唢呐艺术（砀山唢呐）,传统音乐
扩展项目,Ⅱ-37,37,福建省长汀县文化馆,福建省长汀县,2011</br>(第三批),唢呐艺术（长汀公嫲吹）,传统音乐
扩展项目,Ⅱ-37,37,临县大唢呐培训活动中心,山西省临县,2014</br>(第四批),唢呐艺术（临县大唢呐）,传统音乐
扩展项目,Ⅱ-37,37,灵璧县文化馆,安徽省灵璧县,2014</br>(第四批),唢呐艺术（灵璧菠林喇叭）,传统音乐
扩展项目,Ⅱ-37,37,五台《山西八大套》研究会,山西省忻州市五台县,2021</br>(第五批),唢呐艺术（五台八大套）,传统音乐
扩展项目,Ⅱ-37,37,子长市文化馆,陕西省延安市子长市,2021</br>(第五批),唢呐艺术（子长唢呐）,传统音乐
新增项目,Ⅱ-38,38,茂县文化馆,四川省茂县,2006</br>(第一批),羌笛演奏及制作技艺,传统音乐
新增项目,Ⅱ-39,39,辽宁省文化遗产保护中心（辽宁省文物保护中心、辽宁省非物质文化遗产保护中心）,辽宁省,2006</br>(第一批),辽宁鼓乐,传统音乐
新增项目,Ⅱ-39,39,辽阳市公共文化和体育服务中心,辽宁省辽阳市,2006</br>(第一批),辽宁鼓乐,传统音乐
新增项目,Ⅱ-40,40,上海市群众艺术馆,上海市,2006</br>(第一批),江南丝竹,传统音乐
新增项目,Ⅱ-40,40,太仓市文化馆,江苏省太仓市,2006</br>(第一批),江南丝竹,传统音乐
扩展项目,Ⅱ-40,40,杭州艺术学校,浙江省杭州市,2008</br>(第二批),江南丝竹,传统音乐
新增项目,Ⅱ-41,41,连云港市艺术研究所（连云港市剧目工作室、连云港市非物质文化遗产保护中心）,江苏省连云港市,2006</br>(第一批),海州五大宫调 ,传统音乐
新增项目,Ⅱ-42,42,嵊州市文化馆（嵊州市非物质文化遗产保护中心）,浙江省嵊州市,2006</br>(第一批),嵊州吹打 ,传统音乐
新增项目,Ⅱ-43,43,舟山市定海区非物质文化遗产保护中心,浙江省舟山市,2006</br>(第一批),舟山锣鼓	,传统音乐
新增项目,Ⅱ-44,44,福建省龙岩市艺术馆,福建省龙岩市,2006</br>(第一批),十番音乐（闽西客家十番音乐）,传统音乐
新增项目,Ⅱ-44,44,福州市台江区文化馆,福建省福州市,2006</br>(第一批),十番音乐（茶亭十番音乐）,传统音乐
扩展项目,Ⅱ-44,44,淮安市淮安区文化馆,江苏省淮安市,2008</br>(第二批),十番音乐（楚州十番锣鼓）,传统音乐
扩展项目,Ⅱ-44,44,扬州市江都区邵伯镇社会公共事业服务中心,江苏省江都市,2008</br>(第二批),十番音乐（邵伯锣鼓小牌子）,传统音乐
扩展项目,Ⅱ-44,44,杭州市萧山区楼塔细十番协会,浙江省杭州市,2008</br>(第二批),十番音乐（楼塔细十番）,传统音乐
扩展项目,Ⅱ-44,44,遂昌县非物质文化遗产保护中心,浙江省遂昌县,2008</br>(第二批),十番音乐（遂昌昆曲十番）,传统音乐
扩展项目,Ⅱ-44,44,莆田市荔城区文化馆,福建省莆田市,2008</br>(第二批),十番音乐（黄石惠洋十音）,传统音乐
扩展项目,Ⅱ-44,44,佛山市南海区博物馆,广东省佛山市,2008</br>(第二批),十番音乐（佛山十番）,传统音乐
扩展项目,Ⅱ-44,44,海口市美兰区文化馆,海南省海口市,2008</br>(第二批),十番音乐（海南八音器乐）,传统音乐
新增项目,Ⅱ-45,45,嘉祥县文化馆,山东省嘉祥县,2006</br>(第一批),鲁西南鼓吹乐,传统音乐
扩展项目,Ⅱ-45,45,菏泽市牡丹区文化馆,山东省菏泽市牡丹区,2008</br>(第二批),鲁西南鼓吹乐,传统音乐
扩展项目,Ⅱ-45,45,巨野县文化馆,山东省巨野县,2011</br>(第三批),鲁西南鼓吹乐,传统音乐
扩展项目,Ⅱ-45,45,单县文化馆,山东省单县,2011</br>(第三批),鲁西南鼓吹乐,传统音乐
新增项目,Ⅱ-46,46,南阳市群众艺术馆（南阳市非物质文化遗产保护中心）,河南省南阳市,2006</br>(第一批),板头曲,传统音乐
新增项目,Ⅱ-47,47,宜昌市夷陵区文化馆,湖北省宜昌市夷陵区,2006</br>(第一批),宜昌丝竹 ,传统音乐
新增项目,Ⅱ-48,48,枝江市文化馆,湖北省枝江市,2006</br>(第一批),枝江民间吹打乐,传统音乐
新增项目,Ⅱ-49,49,广东音乐曲艺团有限公司,广东省广州市,2006</br>(第一批),广东音乐,传统音乐
新增项目,Ⅱ-49,49,广东省台山市文化馆,广东省台山市,2006</br>(第一批),广东音乐,传统音乐
新增项目,Ⅱ-50,50,潮州市文化馆（潮州市非物质文化遗产保护中心）,广东省潮州市,2006</br>(第一批),潮州音乐,传统音乐
新增项目,Ⅱ-50,50,汕头市潮阳区文化馆,广东省汕头市,2006</br>(第一批),潮州音乐,传统音乐
新增项目,Ⅱ-51,51,大埔县文化馆,广东省大埔县,2006</br>(第一批),广东汉乐,传统音乐
新增项目,Ⅱ-52,52,重庆市巴南区接龙镇文化体育服务中心,重庆市巴南区,2006</br>(第一批),吹打（接龙吹打）,传统音乐
新增项目,Ⅱ-52,52,重庆市万盛经济技术开发区文化馆,重庆市万盛区,2006</br>(第一批),吹打（金桥吹打）,传统音乐
扩展项目,Ⅱ-52,52,玉林市玉州区文化馆,广西壮族自治区玉林市,2011</br>(第三批),吹打（广西八音）,传统音乐
新增项目,Ⅱ-53,53,重庆市梁平区文化遗产保护中心,重庆市梁平县,2006</br>(第一批),梁平癞子锣鼓,传统音乐
新增项目,Ⅱ-54,54,湘西土家族苗族自治州非物质文化遗产保护中心,湖南省湘西土家族苗族自治州,2006</br>(第一批),土家族打溜子 ,传统音乐
扩展项目,Ⅱ-54,54,五峰土家族自治县文化馆,湖北省五峰土家族自治县,2008</br>(第二批),土家族打溜子 ,传统音乐
扩展项目,Ⅱ-54,54,鹤峰县文化馆（鹤峰县非物质文化遗产保护中心）,湖北省鹤峰县,2008</br>(第二批),土家族打溜子 ,传统音乐
新增项目,Ⅱ-55,55,邯郸市永年区文化馆,河北省永年县,2006</br>(第一批),河北鼓吹乐,传统音乐
新增项目,Ⅱ-55,55,秦皇岛市抚宁区文化馆,河北省抚宁县,2006</br>(第一批),河北鼓吹乐,传统音乐
新增项目,Ⅱ-56,56,临汾市群众艺术馆,山西省临汾市,2006</br>(第一批),晋南威风锣鼓,传统音乐
新增项目,Ⅱ-57,57,山西绛州鼓乐艺术团,山西省新绛县,2006</br>(第一批),绛州鼓乐,传统音乐
新增项目,Ⅱ-58,58,晋城市群众艺术馆,山西省晋城市,2006</br>(第一批),上党八音会,传统音乐
新增项目,Ⅱ-59,59,固安县文化馆,河北省固安县,2006</br>(第一批),冀中笙管乐（屈家营音乐会）,传统音乐
新增项目,Ⅱ-59,59,涞水县文化馆,河北省涞水县,2006</br>(第一批),冀中笙管乐（高洛音乐会）,传统音乐
新增项目,Ⅱ-59,59,霸州市文化馆,河北省霸州市,2006</br>(第一批),冀中笙管乐（高桥音乐会）,传统音乐
新增项目,Ⅱ-59,59,霸州市文化馆,河北省霸州市,2006</br>(第一批),冀中笙管乐（胜芳音乐会）,传统音乐
扩展项目,Ⅱ-59,59,北京市大兴区文化馆,北京市大兴区,2008</br>(第二批),冀中笙管乐（白庙村音乐会）,传统音乐
扩展项目,Ⅱ-59,59,雄县文化馆,河北省雄县,2008</br>(第二批),冀中笙管乐（雄县古乐）,传统音乐
扩展项目,Ⅱ-59,59,固安县文化馆,河北省固安县,2008</br>(第二批),冀中笙管乐（小冯村音乐会）,传统音乐
扩展项目,Ⅱ-59,59,霸州市文化馆,河北省霸州市,2008</br>(第二批),冀中笙管乐（张庄音乐会）,传统音乐
扩展项目,Ⅱ-59,59,安次区文化馆,河北省廊坊市安次区,2008</br>(第二批),冀中笙管乐（军卢村音乐会）,传统音乐
扩展项目,Ⅱ-59,59,安次区文化馆,河北省廊坊市安次区,2008</br>(第二批),冀中笙管乐（东张务音乐会）,传统音乐
扩展项目,Ⅱ-59,59,安次区文化馆,河北省廊坊市安次区,2008</br>(第二批),冀中笙管乐（南响口梵呗音乐会）,传统音乐
扩展项目,Ⅱ-59,59,河北省文安县文化馆,河北省文安县,2008</br>(第二批),冀中笙管乐（里东庄音乐老会）,传统音乐
扩展项目,Ⅱ-59,59,任丘市文化馆,河北省任丘市,2008</br>(第二批),冀中笙管乐（辛安庄民间音乐会）,传统音乐
扩展项目,Ⅱ-59,59,安新县非物质文化遗产保护协会,河北省安新县,2008</br>(第二批),冀中笙管乐（安新县圈头村音乐会）,传统音乐
扩展项目,Ⅱ-59,59,易县文化馆,河北省易县,2008</br>(第二批),冀中笙管乐（东韩村拾幡古乐）,传统音乐
扩展项目,Ⅱ-59,59,定州市文化馆,河北省定州市,2008</br>(第二批),冀中笙管乐（子位吹歌）,传统音乐
新增项目,Ⅱ-60,60,镇宁布依族苗族自治县文化馆,贵州省镇宁布依族苗族自治县,2006</br>(第一批),铜鼓十二调 ,传统音乐
新增项目,Ⅱ-60,60,贞丰县文化馆,贵州省贞丰县,2006</br>(第一批),铜鼓十二调 ,传统音乐
新增项目,Ⅱ-61,61,陕西省艺术研究院,陕西省,2006</br>(第一批),西安鼓乐,传统音乐
新增项目,Ⅱ-62,62,蓝田县文化馆,陕西省蓝田县,2006</br>(第一批),蓝田普化水会音乐 ,传统音乐
新增项目,Ⅱ-63,63,宁夏回族自治区文化馆（宁夏回族自治区非物质文化遗产保护中心、宁夏回族自治区展览馆）,宁夏回族自治区,2006</br>(第一批),回族民间器乐,传统音乐
新增项目,Ⅱ-64,64,文水鈲子艺术研究协会,山西省文水县,2006</br>(第一批),文水鈲子,传统音乐
新增项目,Ⅱ-65,65,北京文博交流馆（北京市智化寺管理处）,北京市,2006</br>(第一批),智化寺京音乐,传统音乐
新增项目,Ⅱ-66,66,五台县人民文化馆,山西省五台县,2006</br>(第一批),五台山佛乐,传统音乐
新增项目,Ⅱ-67,67,鞍山市文化旅游发展促进中心（鞍山市文化旅游市场综合行政执法队）,辽宁省鞍山市,2006</br>(第一批),千山寺庙音乐,传统音乐
新增项目,Ⅱ-68,68,苏州市道教协会,江苏省苏州市,2006</br>(第一批),苏州玄妙观道教音乐 ,传统音乐
新增项目,Ⅱ-69,69,十堰市群众艺术馆,湖北省十堰市,2006</br>(第一批),武当山宫观道乐,传统音乐
新增项目,Ⅱ-70,70,新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）,新疆维吾尔自治区,2006</br>(第一批),新疆维吾尔木卡姆艺术（十二木卡姆）,传统音乐
新增项目,Ⅱ-70,70,鄯善县文化馆,新疆维吾尔自治区鄯善县,2006</br>(第一批),新疆维吾尔木卡姆艺术（吐鲁番木卡姆）,传统音乐
